,citing author name,citing paper title,cited paper title,affiliation,latitude,longitude,county,city,state,country
28,Alexandre Hild Aono, Microbial co-occurrence network and its key microorganisms in soil with permanent application of composted tannery sludge,Genome sequence of Candidatus Nitrososphaera evergladensis from group I. 1b enriched from Everglades soil reveals novel genomic features of the ammonia-oxidizing archaea,Swedish University of Agricultural Sciences,63.8201574,20.3146663,Västerbotten County,Umeå,,Sweden
29,Ali Ozcan,Zinkicide is a ZnO-based nanoformulation with bactericidal activity against Liberibacter crescens in batch cultures and in microfluidic chambers simulating plant …,"Identification of the Genes Required for the Culture of Liberibacter crescens, the Closest Cultured Relative of the Liberibacter Plant Pathogens",University of Central Florida,28.5989975,-81.197125,Orange County,Orlando,Florida,United States
30,Amalie Dahl Haue, A deep learning algorithm to predict risk of pancreatic cancer from disease trajectories,Minimum information about clinical artificial intelligence modeling: the MI-CLAIM checklist,University of Copenhagen,55.6801502,12.572327,,Copenhagen,Capital Region of Denmark,Denmark
31,Amit Levy,Transcriptomic Profiling of 'Candidatus Liberibacter asiaticus' in Different Citrus Tissues Reveals Novel Insights into Huanglongbing Pathogenesis,"Identification of the Genes Required for the Culture of Liberibacter crescens, the Closest Cultured Relative of the Liberibacter Plant Pathogens",University of Florida,29.6411884,-82.3562296,Alachua County,Gainesville,Florida,United States
32,Ana Amić,"Inhibitory activity of quercetin, its metabolite, and standard antiviral drugs towards enzymes essential for SARS-CoV-2: The role of acid–base equilibria",Evaluation of molecular docking using polynomial empirical scoring functions,"Associate Professor, Department of Chemistry, Josip Juraj Strossmayer University of Osijek",,,,,,
33,Anas Shamsi,Inhibiting CDK6 activity by quercetin is an attractive strategy for cancer therapy,Experimental approaches to evaluate the thermodynamics of protein-drug interactions,Ajman University,25.4127618,55.5063537,,Ajman,Ajman Emirate,United Arab Emirates
34,Anas Shamsi,Inhibiting CDK6 activity by quercetin is an attractive strategy for cancer therapy,Experimental approaches to evaluate the thermodynamics of protein-drug interactions,"Research Assistant Professor, Ajman University, UAE.",,,,,,
35,Anas Shamsi,Inhibiting CDK6 activity by quercetin is an attractive strategy for cancer therapy,Experimental approaches to evaluate the thermodynamics of protein-drug interactions,UAE.,24.0002488,53.9994829,Al Dhafrah Region,,Abu Dhabi Emirate,United Arab Emirates
36,Andreu Vall,Enhancing activity prediction models in drug discovery with the ability to understand human language,Molecular docking algorithms,Inc.,,,,,,
37,Andreu Vall,Enhancing activity prediction models in drug discovery with the ability to understand human language,Molecular docking algorithms,Pumas-AI,-46.3894623,-72.4658856,Provincia de General Carrera,Río Ibáñez,Aysen del General Carlos Ibanez del Campo Region,Chile
38,Andreu Vall,Enhancing activity prediction models in drug discovery with the ability to understand human language,Molecular docking algorithms,"Pumas-AI, Inc.",,,,,,
39,Andrew P. Bradley,"Deep learning in cancer diagnosis, prognosis and treatment selection",Artificial intelligence in clinical and genomic diagnostics,Whipbird Signals,-27.3705331,152.8858896,,,Queensland,Australia
40,Andrés Reyes Chaparro,Molecular Recognition and Machine Learning to Predict Protein‐Ligand Interactions,"De Azevedo Jr., WF (2008)",Professor in Instituto Politécnico Nacional,,,,,,
41,Ania Syrowatka,The potential of artificial intelligence to improve patient safety: a scoping review,Artificial intelligence in clinical and genomic diagnostics,Brigham,54.6591021,-3.4191226,Cumberland,,England,United Kingdom
42,Ania Syrowatka,The potential of artificial intelligence to improve patient safety: a scoping review,Artificial intelligence in clinical and genomic diagnostics,Harvard Medical School,,,,,,
43,Ania Syrowatka,The potential of artificial intelligence to improve patient safety: a scoping review,Artificial intelligence in clinical and genomic diagnostics,Lead Investigator at Brigham and Women's Hospital & Assistant Professor at Harvard Medical School,,,,,,
44,Anne de Hond,Guidelines and quality criteria for artificial intelligence-based prediction models in healthcare: a scoping review,Minimum information about clinical artificial intelligence modeling: the MI-CLAIM checklist,"Assistant professor Julius Centre, University Medical Centre Utrecht",,,,,,
45,Anne de Hond,Guidelines and quality criteria for artificial intelligence-based prediction models in healthcare: a scoping review,Minimum information about clinical artificial intelligence modeling: the MI-CLAIM checklist,University Medical Centre Utrecht,52.0870179,5.1801005,,,Utrecht,Netherlands
46,Anu Maria Sebastian," Artificial intelligence in cancer research: trends, challenges and future directions",Artificial intelligence in clinical and genomic diagnostics,Cochin University of Science,10.0449079,76.3261437,Kanayannur,,Kerala,India
47,Anu Maria Sebastian," Artificial intelligence in cancer research: trends, challenges and future directions",Artificial intelligence in clinical and genomic diagnostics,Research Scholar,,,,,,
48,Anu Maria Sebastian," Artificial intelligence in cancer research: trends, challenges and future directions",Artificial intelligence in clinical and genomic diagnostics,"Research Scholar, Cochin University of Science and Technology",,,,,,
49,Anu Maria Sebastian," Artificial intelligence in cancer research: trends, challenges and future directions",Artificial intelligence in clinical and genomic diagnostics,Technology,-0.2912908,36.0353719,Nakuru West,Kapkures ward,Nakuru,Kenya
50,Ardiyan Harimawan," Influence of axenic culture of Bacillus clausii and mixed culture on biofilm formation, carbon steel corrosion, and methyl ester degradation in B30 storage tank …","Microbial community composition in Brazilian stored diesel fuel of varying sulfur content, using high-throughput sequencing","Associate Professor, Department of Chemical Engineering, Institut Teknologi Bandung",,,,,,
51,Ardiyan Harimawan," Influence of axenic culture of Bacillus clausii and mixed culture on biofilm formation, carbon steel corrosion, and methyl ester degradation in B30 storage tank …","Microbial community composition in Brazilian stored diesel fuel of varying sulfur content, using high-throughput sequencing",Institut Teknologi Bandung,-6.8904488,107.6103136,,Bandung City,West Java,Indonesia
52,"Arif Istiaq, PhD","Insights into the resistome of bovine clinical mastitis microbiome, a key factor in disease complication",Genomic targets and features of BarA-UvrY (-SirA) signal transduction systems,Dept of Pediatrics,39.5477253,-119.8163997,Washoe County,Reno,Nevada,United States
53,"Arif Istiaq, PhD","Insights into the resistome of bovine clinical mastitis microbiome, a key factor in disease complication",Genomic targets and features of BarA-UvrY (-SirA) signal transduction systems,Washington University in St Louis,38.6472402,-90.3084017,,St. Louis,Missouri,United States
54,Arlene S Bierman,Guiding principles to address the impact of algorithm bias on racial and ethnic disparities in health and health care,Minimum information about clinical artificial intelligence modeling: the MI-CLAIM checklist,University of Toronto,43.663462,-79.3977597,,Toronto,Ontario,Canada
55,Armand LEOPOLD,Federated learning for predicting histological response to neoadjuvant chemotherapy in triple-negative breast cancer,Minimum information about clinical artificial intelligence modeling: the MI-CLAIM checklist,Institut Curie,48.8438173,2.3456726,,Paris,Ile-de-France,France
56,Arnold Park,Intestinal virome changes precede autoimmunity in type I diabetes-susceptible children,Bacteroides dorei dominates gut microbiome prior to autoimmunity in Finnish children at high risk for type 1 diabetes,Icahn School of Medicine at Mount Sinai,,,,,,
57,Arnold Park,Intestinal virome changes precede autoimmunity in type I diabetes-susceptible children,Bacteroides dorei dominates gut microbiome prior to autoimmunity in Finnish children at high risk for type 1 diabetes,Mount Sinai,28.5388088,33.9751845,,Saint Catherine,South Sinai,Egypt
58,Artem Shmatko,Artificial intelligence in histopathology: enhancing cancer research and clinical oncology,Minimum information about clinical artificial intelligence modeling: the MI-CLAIM checklist,Deutsches Krebsforschungszentrum (DKFZ),49.4147316,8.6732292,,Heidelberg,Baden-Württemberg,Germany
59,Artem Shmatko,Artificial intelligence in histopathology: enhancing cancer research and clinical oncology,Minimum information about clinical artificial intelligence modeling: the MI-CLAIM checklist,"Doctoral student, Deutsches Krebsforschungszentrum (DKFZ)",,,,,,
60,Artuur Leeuwenberg,Guidelines and quality criteria for artificial intelligence-based prediction models in healthcare: a scoping review,Minimum information about clinical artificial intelligence modeling: the MI-CLAIM checklist,"Assistant professor, University Medical Center Utrecht, Utrecht University",,,,,,
61,Artuur Leeuwenberg,Guidelines and quality criteria for artificial intelligence-based prediction models in healthcare: a scoping review,Minimum information about clinical artificial intelligence modeling: the MI-CLAIM checklist,Utrecht University,52.0832758,5.1478185,,Utrecht,Utrecht,Netherlands
62,Atul J. Butte,Ethical and regulatory challenges of large language models in medicine,Minimum information about clinical artificial intelligence modeling: the MI-CLAIM checklist,San Francisco,37.7792588,-122.4193286,,San Francisco,California,United States
63,Atul J. Butte,Ethical and regulatory challenges of large language models in medicine,Minimum information about clinical artificial intelligence modeling: the MI-CLAIM checklist,University of California,37.8754996,-122.2390685,Alameda County,Berkeley,California,United States
64,Baptiste Vasey,Reporting guideline for the early stage clinical evaluation of decision support systems driven by artificial intelligence: DECIDE-AI,Minimum information about clinical artificial intelligence modeling: the MI-CLAIM checklist,University of Oxford,51.7587075,-1.2556685,Oxfordshire,Oxford,England,United Kingdom
65,Barbara Bayer,"Nitrosopumilus adriaticus sp. nov. and Nitrosopumilus piranensis sp. nov., two ammonia-oxidizing archaea from the Adriatic Sea and members of the class …",Genome sequence of Candidatus Nitrososphaera evergladensis from group I. 1b enriched from Everglades soil reveals novel genomic features of the ammonia-oxidizing archaea,"Assistant Professor, University of Vienna, Centre for Microbiology and Environmental System Science",,,,,,
66,Barbara Bayer,"Nitrosopumilus adriaticus sp. nov. and Nitrosopumilus piranensis sp. nov., two ammonia-oxidizing archaea from the Adriatic Sea and members of the class …",Genome sequence of Candidatus Nitrososphaera evergladensis from group I. 1b enriched from Everglades soil reveals novel genomic features of the ammonia-oxidizing archaea,University of Vienna,48.2131469,16.35997,,Vienna,,Austria
67,Belinda K. Fabian,Application of transposon insertion sequencing to agricultural science,"Identification of the Genes Required for the Culture of Liberibacter crescens, the Closest Cultured Relative of the Liberibacter Plant Pathogens",Macquarie University,-33.774197,151.1127327,,Sydney,New South Wales,Australia
68,Belinda K. Fabian,Application of transposon insertion sequencing to agricultural science,"Identification of the Genes Required for the Culture of Liberibacter crescens, the Closest Cultured Relative of the Liberibacter Plant Pathogens",School of Natural Sciences,,,,,,
69,Belinda K. Fabian,Application of transposon insertion sequencing to agricultural science,"Identification of the Genes Required for the Culture of Liberibacter crescens, the Closest Cultured Relative of the Liberibacter Plant Pathogens","School of Natural Sciences, Macquarie University",,,,,,
70,Benjamin H Kann, Artificial intelligence for clinical oncology,Minimum information about clinical artificial intelligence modeling: the MI-CLAIM checklist,Brigham,54.6591021,-3.4191226,Cumberland,,England,United Kingdom
71,Benjamin H Kann, Artificial intelligence for clinical oncology,Minimum information about clinical artificial intelligence modeling: the MI-CLAIM checklist,Dana-Farber Cancer Institute,42.3375681,-71.1078696,Norfolk County,,Massachusetts,United States
72,Benjamin H Kann, Artificial intelligence for clinical oncology,Minimum information about clinical artificial intelligence modeling: the MI-CLAIM checklist,"Dana-Farber Cancer Institute, Brigham and Women's Hospital, Harvard Medical School",,,,,,
73,Benjamin H Kann, Artificial intelligence for clinical oncology,Minimum information about clinical artificial intelligence modeling: the MI-CLAIM checklist,Harvard Medical School,,,,,,
74,Benjamin H Kann, Artificial intelligence for clinical oncology,Minimum information about clinical artificial intelligence modeling: the MI-CLAIM checklist,Women's Hospital,60.1887738,24.9103522,,Helsinki,Uusimaa,Finland
75,Beth Black Peacock,Linking metabolic phenotypes to pathogenic traits among “Candidatus Liberibacter asiaticus” and its hosts,"Identification of the Genes Required for the Culture of Liberibacter crescens, the Closest Cultured Relative of the Liberibacter Plant Pathogens","Postdoctoral Scholar at University of California, Riverside",,,,,,
76,Beth Black Peacock,Linking metabolic phenotypes to pathogenic traits among “Candidatus Liberibacter asiaticus” and its hosts,"Identification of the Genes Required for the Culture of Liberibacter crescens, the Closest Cultured Relative of the Liberibacter Plant Pathogens",Riverside,33.9824949,-117.374238,Riverside County,Riverside,California,United States
77,Beth Black Peacock,Linking metabolic phenotypes to pathogenic traits among “Candidatus Liberibacter asiaticus” and its hosts,"Identification of the Genes Required for the Culture of Liberibacter crescens, the Closest Cultured Relative of the Liberibacter Plant Pathogens",University of California,37.8754996,-122.2390685,Alameda County,Berkeley,California,United States
78,Bhaskar Singh, Bioremediation of petroleum contaminated soil-water resources using neat biodiesel: A review,"Microbial community composition in Brazilian stored diesel fuel of varying sulfur content, using high-throughput sequencing",Central University of Jharkhand,23.4421777,85.1455277,Mandar,,Jharkhand,India
79,Biswajit Naik, High throughput virtual screening reveals SARS-CoV-2 multi-target binding natural compounds to lead instant therapy for COVID-19 treatment,Experimental approaches to evaluate the thermodynamics of protein-drug interactions,Central university of Rajasthan,26.6276045,75.0288021,Kishangarh Tehsil,,Rajasthan,India
80,Biswajit Naik, High throughput virtual screening reveals SARS-CoV-2 multi-target binding natural compounds to lead instant therapy for COVID-19 treatment,Experimental approaches to evaluate the thermodynamics of protein-drug interactions,"Ph.D. scholar, Central university of Rajasthan",,,,,,
81,Bo Liang,Linking metabolic phenotypes to pathogenic traits among “Candidatus Liberibacter asiaticus” and its hosts,"Identification of the Genes Required for the Culture of Liberibacter crescens, the Closest Cultured Relative of the Liberibacter Plant Pathogens",East China University of Science,30.5202172,114.4118463,,Hongshan District,Hubei,China
82,Bo Liang,Linking metabolic phenotypes to pathogenic traits among “Candidatus Liberibacter asiaticus” and its hosts,"Identification of the Genes Required for the Culture of Liberibacter crescens, the Closest Cultured Relative of the Liberibacter Plant Pathogens",East China University of Science and Technology,31.1450813,121.4195085,,Xuhui District,Shanghai,China
83,Bo Liang,Linking metabolic phenotypes to pathogenic traits among “Candidatus Liberibacter asiaticus” and its hosts,"Identification of the Genes Required for the Culture of Liberibacter crescens, the Closest Cultured Relative of the Liberibacter Plant Pathogens",Technology,-0.2912908,36.0353719,Nakuru West,Kapkures ward,Nakuru,Kenya
84,Bo Wen,Deep learning in proteomics,Artificial intelligence in clinical and genomic diagnostics,University of Washington,47.6554303,-122.3001692,King County,Seattle,Washington,United States
85,Bo Yuan, A deep learning algorithm to predict risk of pancreatic cancer from disease trajectories,Minimum information about clinical artificial intelligence modeling: the MI-CLAIM checklist,Merck,36.935832,140.8428371,,Iwaki,,Japan
86,Brian M. M. Ahmer,Role of CsrA in stress responses and metabolism important for Salmonella virulence revealed by integrated transcriptomics,Genomic targets and features of BarA-UvrY (-SirA) signal transduction systems,The Ohio State University,40.0056802,-83.0286612,Franklin County,Columbus,Ohio,United States
87,CINDI RAMAYANTI,Microbial contamination of diesel-biodiesel blends in storage tank; an analysis of colony morphology,"Microbial community composition in Brazilian stored diesel fuel of varying sulfur content, using high-throughput sequencing",Chemical Engineering Department,,,,,,
88,CINDI RAMAYANTI,Microbial contamination of diesel-biodiesel blends in storage tank; an analysis of colony morphology,"Microbial community composition in Brazilian stored diesel fuel of varying sulfur content, using high-throughput sequencing","Chemical Engineering Department, Politeknik Negeri Sriwijaya",,,,,,
89,CINDI RAMAYANTI,Microbial contamination of diesel-biodiesel blends in storage tank; an analysis of colony morphology,"Microbial community composition in Brazilian stored diesel fuel of varying sulfur content, using high-throughput sequencing",Politeknik Negeri Sriwijaya,-3.0435843,104.7267526,,Palembang,South Sumatra,Indonesia
90,Caleb Harris,Deep learning-aided decision support for diagnosis of skin disease across skin tones,Minimum information about clinical artificial intelligence modeling: the MI-CLAIM checklist,MIT Researcher,,,,,,
91,Camila Silva de Magalhães,Receptor–ligand molecular docking,Computational methods for calculation of ligand-binding affinity,UFRJ,-22.8533498,-43.2331703,Região Metropolitana do Rio de Janeiro,Rio de Janeiro,Rio de Janeiro,Brazil
92,Carlo Selmi," Connecting the immune system, systemic chronic inflammation and the gut microbiome: the role of sex",Bacteroides dorei dominates gut microbiome prior to autoimmunity in Finnish children at high risk for type 1 diabetes,Humanitas University,45.3703426,9.171865,Milan,,Lombardy,Italy
93,Carmina Liana Musat,Advancing patient care: how artificial intelligence is transforming healthcare,Artificial intelligence in clinical and genomic diagnostics,Facultatea de Medicina si Farmacie,47.1734297,27.579936,Iași,Iași,,Romania
94,Carmina Liana Musat,Advancing patient care: how artificial intelligence is transforming healthcare,Artificial intelligence in clinical and genomic diagnostics,Profesor,51.113756,17.033578,,Wrocław,Lower Silesian Voivodeship,Poland
95,Carsten Kröger,The Impact of 18 Ancestral and Horizontally-Acquired Regulatory Proteins upon the Transcriptome and sRNA Landscape of Salmonella enterica serovar …,Genomic targets and features of BarA-UvrY (-SirA) signal transduction systems,"Department of Microbiology, Trinity College Dublin",,,,,,
96,Carsten Kröger,The Impact of 18 Ancestral and Horizontally-Acquired Regulatory Proteins upon the Transcriptome and sRNA Landscape of Salmonella enterica serovar …,Genomic targets and features of BarA-UvrY (-SirA) signal transduction systems,Trinity College Dublin,53.3436671,-6.2544366,County Dublin,Dublin,,Ireland
97,Catherine Stein, Addressing the challenges of polygenic scores in human genetic research,Genotype imputation and variability in polygenic risk score estimation,Case Western Reserve University,41.5013869,-81.6007022,Cuyahoga County,Cleveland,Ohio,United States
98,"Cavalcanti, E. H S.", Chemical and microbial storage stability studies and shelf life determinations of commercial Brazilian biodiesels stored in carbon steel containers in …,"Microbial community composition in Brazilian stored diesel fuel of varying sulfur content, using high-throughput sequencing",INT,46.4156604,6.2784135,District de Nyon,,Vaud,Switzerland
99,"Cavalcanti, E. H S.", Chemical and microbial storage stability studies and shelf life determinations of commercial Brazilian biodiesels stored in carbon steel containers in …,"Microbial community composition in Brazilian stored diesel fuel of varying sulfur content, using high-throughput sequencing",Pesquisador,-7.2566593,-39.290112,,Juazeiro do Norte,Ceará,Brazil
100,Changge Ji,Developing an effective polarizable bond method for small molecules with application to optimized molecular docking,Computational methods for calculation of ligand-binding affinity,"Associate Professor of Chemistry, East China Normal University",,,,,,
101,Changge Ji,Developing an effective polarizable bond method for small molecules with application to optimized molecular docking,Computational methods for calculation of ligand-binding affinity,East China Normal University,31.2284923,121.4021139,,Putuo District,Shanghai,China
102,Charles A. Brunette, The GenoVA study: Equitable implementation of a pragmatic randomized trial of polygenic-risk scoring in primary care,Genotype imputation and variability in polygenic risk score estimation,VA Boston Healthcare System,42.3267795,-71.1099898,Suffolk County,Boston,Massachusetts,United States
103,Charles Pugh,"High-throughput reconstruction of ancestral protein sequence, structure, and molecular function",Evaluation of molecular docking using polynomial empirical scoring functions,Harvard,42.3657432,-71.1222139,Middlesex County,Cambridge,Massachusetts,United States
104,Charles Pugh,"High-throughput reconstruction of ancestral protein sequence, structure, and molecular function",Evaluation of molecular docking using polynomial empirical scoring functions,Harvard Medical School,,,,,,
105,Charles Pugh,"High-throughput reconstruction of ancestral protein sequence, structure, and molecular function",Evaluation of molecular docking using polynomial empirical scoring functions,MIT,42.3582529,-71.0966272,Middlesex County,Cambridge,Massachusetts,United States
106,Charles Pugh,"High-throughput reconstruction of ancestral protein sequence, structure, and molecular function",Evaluation of molecular docking using polynomial empirical scoring functions,"Ragon Institute of MGH, MIT and Harvard; Harvard Medical School",,,,,,
107,Charlotte Brannon,Functional genomics data: privacy risk assessment and technological mitigation,Genotype imputation and variability in polygenic risk score estimation,"Graduate Student, Stanford University",,,,,,
108,Charlotte Brannon,Functional genomics data: privacy risk assessment and technological mitigation,Genotype imputation and variability in polygenic risk score estimation,Stanford University,37.4313138,-122.1693654,Santa Clara County,,California,United States
109,Cheng Ge,Abdomenct-1k: Is abdominal organ segmentation a solved problem?,Minimum information about clinical artificial intelligence modeling: the MI-CLAIM checklist,Ocean University of China,36.1614396,120.4935835,,Laoshan District,Shandong,China
110,Chris Greening,"Cofactor F420: an expanded view of its distribution, biosynthesis and roles in bacteria and archaea",Genome sequence of Candidatus Nitrososphaera evergladensis from group I. 1b enriched from Everglades soil reveals novel genomic features of the ammonia-oxidizing archaea,Monash University,-37.7839745,144.9586743,,Melbourne,Victoria,Australia
111,Chris Greening,"Cofactor F420: an expanded view of its distribution, biosynthesis and roles in bacteria and archaea",Genome sequence of Candidatus Nitrososphaera evergladensis from group I. 1b enriched from Everglades soil reveals novel genomic features of the ammonia-oxidizing archaea,"Professor & ARC Future Fellow, Department of Microbiology, Monash University",,,,,,
112,Chris Varghese,Artificial intelligence in surgery,Artificial intelligence in clinical and genomic diagnostics,"Department of Surgery, University of Auckland",,,,,,
113,Chris Varghese,Artificial intelligence in surgery,Artificial intelligence in clinical and genomic diagnostics,University of Auckland,-36.8660955,174.7737331,,Auckland,Auckland,New Zealand
114,Christian Aslan," Influence of axenic culture of Bacillus clausii and mixed culture on biofilm formation, carbon steel corrosion, and methyl ester degradation in B30 storage tank …","Microbial community composition in Brazilian stored diesel fuel of varying sulfur content, using high-throughput sequencing",Institut Teknologi Bandung,-6.8904488,107.6103136,,Bandung City,West Java,Indonesia
115,Christian Aslan, Microbiologically influenced corrosion of the ST-37 carbon steel tank by Bacillus licheniformis present in biodiesel blends,"Microbial community composition in Brazilian stored diesel fuel of varying sulfur content, using high-throughput sequencing",Institut Teknologi Bandung,-6.8904488,107.6103136,,Bandung City,West Java,Indonesia
116,Christine Pourciau,CsrA regulation via binding to the base‐pairing small RNA Spot 42,Genomic targets and features of BarA-UvrY (-SirA) signal transduction systems,Penn State,40.8025835,-77.8559383,Centre County,Ferguson Township,Pennsylvania,United States
117,Christine Pourciau,Diverse mechanisms and circuitry for global regulation by the RNA-binding protein CsrA,Genomic targets and features of BarA-UvrY (-SirA) signal transduction systems,Penn State,40.8025835,-77.8559383,Centre County,Ferguson Township,Pennsylvania,United States
118,Christine Pourciau,Regulation of iron storage by CsrA supports exponential growth of Escherichia coli,Genomic targets and features of BarA-UvrY (-SirA) signal transduction systems,Penn State,40.8025835,-77.8559383,Centre County,Ferguson Township,Pennsylvania,United States
119,Christophe O Soulage,Exploring docking methods for virtual screening: application to the identification of neuraminidase and Ftsz potential inhibitors,"De Azevedo Jr., WF (2008)",Full Professor of Physiology,,,,,,
